origin,destination,od,distance
1,1,"(1,1)",5000
2,1,"(2,1)",189
3,1,"(3,1)",179
4,1,"(4,1)",208
5,1,"(5,1)",56
6,1,"(6,1)",208
7,1,"(7,1)",124
8,1,"(8,1)",224
9,1,"(9,1)",218
10,1,"(10,1)",146
11,1,"(11,1)",33
12,1,"(12,1)",69
13,1,"(13,1)",227
14,1,"(14,1)",167
15,1,"(15,1)",13
1,2,"(1,2)",189
2,2,"(2,2)",5000
3,2,"(3,2)",154
4,2,"(4,2)",28
5,2,"(5,2)",205
6,2,"(6,2)",20
7,2,"(7,2)",295
8,2,"(8,2)",42
9,2,"(9,2)",30
10,2,"(10,2)",308
11,2,"(11,2)",176
12,2,"(12,2)",196
13,2,"(13,2)",45
14,2,"(14,2)",200
15,2,"(15,2)",194
1,3,"(1,3)",179
2,3,"(2,3)",154
3,3,"(3,3)",5000
4,3,"(4,3)",133
5,3,"(5,3)",223
6,3,"(6,3)",140
7,3,"(7,3)",254
8,3,"(8,3)",148
9,3,"(9,3)",144
10,3,"(10,3)",323
11,3,"(11,3)",154
12,3,"(12,3)",116
13,3,"(13,3)",157
14,3,"(14,3)",55
15,3,"(15,3)",165
1,4,"(1,4)",208
2,4,"(2,4)",28
3,4,"(3,4)",133
4,4,"(4,4)",5000
5,4,"(5,4)",224
6,4,"(6,4)",12
7,4,"(7,4)",317
8,4,"(8,4)",22
9,4,"(9,4)",16
10,4,"(10,4)",326
11,4,"(11,4)",198
12,4,"(12,4)",217
13,4,"(13,4)",25
14,4,"(14,4)",178
15,4,"(15,4)",215
1,5,"(1,5)",56
2,5,"(2,5)",205
3,5,"(3,5)",223
4,5,"(4,5)",224
5,5,"(5,5)",5000
6,5,"(6,5)",224
7,5,"(7,5)",122
8,5,"(8,5)",240
9,5,"(9,5)",234
10,5,"(10,5)",112
11,5,"(11,5)",84
12,5,"(12,5)",123
13,5,"(13,5)",243
14,5,"(14,5)",222
15,5,"(15,5)",68
1,6,"(1,6)",208
2,6,"(2,6)",20
3,6,"(3,6)",140
4,6,"(4,6)",12
5,6,"(5,6)",224
6,6,"(6,6)",5000
7,6,"(7,6)",314
8,6,"(8,6)",26
9,6,"(9,6)",14
10,6,"(10,6)",326
11,6,"(11,6)",195
12,6,"(12,6)",214
13,6,"(13,6)",29
14,6,"(14,6)",186
15,6,"(15,6)",213
1,7,"(1,7)",124
2,7,"(2,7)",295
3,7,"(3,7)",254
4,7,"(4,7)",317
5,7,"(5,7)",122
6,7,"(6,7)",314
7,7,"(7,7)",5000
8,7,"(8,7)",333
9,7,"(9,7)",323
10,7,"(10,7)",71
11,7,"(11,7)",123
12,7,"(12,7)",122
13,7,"(13,7)",336
14,7,"(14,7)",206
15,7,"(15,7)",115
1,8,"(1,8)",224
2,8,"(2,8)",42
3,8,"(3,8)",148
4,8,"(4,8)",22
5,8,"(5,8)",240
6,8,"(6,8)",26
7,8,"(7,8)",333
8,8,"(8,8)",5000
9,8,"(9,8)",14
10,8,"(10,8)",343
11,8,"(11,8)",214
12,8,"(12,8)",233
13,8,"(13,8)",12
14,8,"(14,8)",193
15,8,"(15,8)",232
1,9,"(1,9)",218
2,9,"(2,9)",30
3,9,"(3,9)",144
4,9,"(4,9)",16
5,9,"(5,9)",234
6,9,"(6,9)",14
7,9,"(7,9)",323
8,9,"(8,9)",14
9,9,"(9,9)",5000
10,9,"(10,9)",336
11,9,"(11,9)",205
12,9,"(12,9)",225
13,9,"(13,9)",17
14,9,"(14,9)",191
15,9,"(15,9)",223
1,10,"(1,10)",146
2,10,"(2,10)",308
3,10,"(3,10)",323
4,10,"(4,10)",326
5,10,"(5,10)",112
6,10,"(6,10)",326
7,10,"(7,10)",71
8,10,"(8,10)",343
9,10,"(9,10)",336
10,10,"(10,10)",5000
11,10,"(11,10)",163
12,10,"(12,10)",196
13,10,"(13,10)",346
14,10,"(14,10)",276
15,10,"(15,10)",141
1,11,"(1,11)",33
2,11,"(2,11)",176
3,11,"(3,11)",154
4,11,"(4,11)",198
5,11,"(5,11)",84
6,11,"(6,11)",195
7,11,"(7,11)",123
8,11,"(8,11)",214
9,11,"(9,11)",205
10,11,"(10,11)",163
11,11,"(11,11)",5000
12,11,"(12,11)",45
13,11,"(13,11)",218
14,11,"(14,11)",144
15,11,"(15,11)",22
